,"Core PCE inflation, 4-quarter","PCE inflation, 4-quarter",Survey of Professional Forecasters expected 4-quarter PCE inflation ,"Core PCE inflation, 4-quarter, real-time (1st estimate)","Core PCE inflation, 4-quarter, real-time (2nd estimate)","Core PCE inflation, 4-quarter, real-time (3rd estimate)","PCE inflation, 4-quarter, real-time (1st estimate)","PCE inflation, 4-quarter, real-time (2nd estimate)","PCE inflation, 4-quarter, real-time (3rd estimate)",10-year expected PCE price inflation (Survey of Professional Forecasters),,,,,,,,,,,,,,,
,CorePCEInflation,PCEInflation,ExpectedPCEInflation,CorePCEInflationRTest1,CorePCEInflationRTest2,CorePCEInflationRTest3,PCEInflationRTest1,PCEInflationRTest2,PCEInflationRTest3,PTR,,,,,,,,,,,,,,,
11/15/2019,1.640364886447,1.491934743912,1.877370684095,1.585723068022,1.575778396557,1.575778396557,1.452579708013,1.405692641489,1.405692641489,2,,,,,,,,,,,,,,,
2/15/2020,1.798697091851,1.703024747938,1.852437315056,1.751095561847,1.724946349029,1.733963318966,1.644945306257,1.626576291112,1.636679249442,2,,,,,,,,,,,,,,,
5/15/2020,1.016254707782,0.610005917968,0.746556665225,0.946572815360,0.976125230598,1.023588200527,0.574157446731,0.602409638554,0.646154967829,1.86,,,,,,,,,,,,,,,
8/15/2020,1.456323651231,1.240228434461,1.444844704280,1.415430690245,1.424343981746,1.404734740445,1.211537762924,1.218803356704,1.201547571475,1.85,,,,,,,,,,,,,,,
11/15/2020,1.427468108338,1.189744331537,1.837453291411,1.410702864047,1.413367919835,1.381387250373,1.196066190773,1.210542029694,1.181590351853,1.9,,,,,,,,,,,,,,,
2/15/2021,1.657312060812,1.830422321960,2.022245388853,1.546533129252,1.604926256558,1.602272023499,1.736981656175,1.787485795711,1.784780216807,2.03,,,,,,,,,,,,,,,
5/15/2021,3.375871199710,3.861363739197,2.429421712176,3.362587341369,3.379413561934,3.375871199710,3.848694629202,3.864078548482,3.861363739197,2.1,,,,,,,,,,,,,,,
8/15/2021,3.635517628880,4.277758347010,2.762421496948,3.610057592358,3.617081050709,3.635517628880,4.255338229887,4.261615862681,4.277758347010,2.2,,,,,,,,,,,,,,,
11/15/2021,4.587983020437,5.497283968265,2.925387948689,4.555599317317,4.584482079559,4.587983020437,5.529447501966,5.494603673790,5.497283968265,2.3,,,,,,,,,,,,,,,
2/15/2022,5.215198678376,6.294418040694,3.193804590429,5.215198678376,5.215198678376,5.215198678376,6.294418040694,6.294418040694,6.294418040694,2.27,,,,,,,,,,,,,,,
5/15/2022,4.821048849472,6.171122117808,3.321336774678,4.821048849472,4.821048849472,4.821048849472,6.171122117808,6.171122117808,6.171122117808,2.243,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
