"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2022-02-16","'91282CAR2'","NotesBonds",,,"2022-10-31",,,"0.125",,"14253057500",,"0.2386331752944501","0","5899000000",
"2022-02-16","'912828M49'","NotesBonds",,,"2022-10-31",,,"1.875",,"5646000000",,"0.1946912435844218","0","458000000",
"2022-02-16","'9128283C2'","NotesBonds",,,"2022-10-31",,,"2",,"8950465500",,"0.2568264956576958","0","3143000000",
"2022-02-16","'912810EN4'","NotesBonds",,,"2022-11-15",,,"7.625",,"5196000000",,"0.6999275017356748","0","102000000",
"2022-02-16","'912828TY6'","NotesBonds",,,"2022-11-15",,,"1.625",,"68889322500",,"0.5646977561279959","0","1958000000",
"2022-02-16","'91282CAX9'","NotesBonds",,,"2022-11-30",,,"0.125",,"15177863900",,"0.2380125271453816","0","7388000000",
"2022-02-16","'912828M80'","NotesBonds",,,"2022-11-30",,,"2",,"19208997300",,"0.2962293697068568","0","6602000000",
"2022-02-16","'912828YW4'","NotesBonds",,,"2022-12-15",,,"1.625",,"12110000000",,"0.318683059074105","0","6406000000",
"2022-02-16","'91282CBD2'","NotesBonds",,,"2022-12-31",,,"0.125",,"16315362800",,"0.2441537034645215","0","7341000000",
"2022-02-16","'912828N30'","NotesBonds",,,"2022-12-31",,,"2.125",,"25039575500",,"0.3712613168102126","0","6878000000",
"2022-02-16","'912828Z29'","NotesBonds",,,"2023-01-15",,,"1.5",,"15481860200",,"0.3947855331812153","0","1023000000",
"2022-02-16","'91282CBG5'","NotesBonds",,,"2023-01-31",,,"0.125",,"14527483900",,"0.2132978058691467","0","6418000000",
"2022-02-16","'912828P38'","NotesBonds",,,"2023-01-31",,,"1.75",,"5971920200",,"0.2022948893632366","0","848000000",
"2022-02-16","'9128283U2'","NotesBonds",,,"2023-01-31",,,"2.375",,"12632974700",,"0.3239469883706465","0","1089000000",
"2022-02-16","'912810EP9'","NotesBonds",,,"2023-02-15",,,"7.125",,"11046500000",,"0.6999402676241081","0","0",
"2022-02-16","'912828Z86'","NotesBonds",,,"2023-02-15",,,"1.375",,"30272739700",,"0.5514186733013846","0","1129000000",
"2022-02-16","'912828UN8'","NotesBonds",,,"2023-02-15",,,"2",,"28246000000",,"0.4279642099497809","0","9010000000",
"2022-02-16","'91282CBN0'","NotesBonds",,,"2023-02-28",,,"0.125",,"22992862400",,"0.3150100806911652","0","22992862400",
"2022-02-16","'912828P79'","NotesBonds",,,"2023-02-28",,,"1.5",,"17278132400",,"0.462276927908305","0","896000000",
"2022-02-16","'9128284A5'","NotesBonds",,,"2023-02-28",,,"2.625",,"20396822500",,"0.4685417316950952","0","981000000",
"2022-02-16","'912828ZD5'","NotesBonds",,,"2023-03-15",,,"0.5",,"7109538500",,"0.1869131102745729","0","1842000000",
"2022-02-16","'91282CBU4'","NotesBonds",,,"2023-03-31",,,"0.125",,"21078267300",,"0.297844610332943","0","21078267300",
"2022-02-16","'912828Q29'","NotesBonds",,,"2023-03-31",,,"1.5",,"9652120600",,"0.2783906808470701","0","929000000",
"2022-02-16","'9128284D9'","NotesBonds",,,"2023-03-31",,,"2.5",,"17960499200",,"0.4362997745935414","0","2360000000",
"2022-02-16","'912828ZH6'","NotesBonds",,,"2023-04-15",,,"0.25",,"8198654200",,"0.2042948399041834","0","5474000000",
"2022-02-16","'91282CBX8'","NotesBonds",,,"2023-04-30",,,"0.125",,"24349349800",,"0.3407493873869121","0","24349349800",
"2022-02-16","'912828R28'","NotesBonds",,,"2023-04-30",,,"1.625",,"13048709800",,"0.3681840008143625","0","1184000000",
"2022-02-16","'9128284L1'","NotesBonds",,,"2023-04-30",,,"2.75",,"16024287800",,"0.4060231407192274","0","2259000000",
"2022-02-16","'912828ZP8'","NotesBonds",,,"2023-05-15",,,"0.125",,"31079648800",,"0.4840188040813905","0","3449000000",
"2022-02-16","'912828VB3'","NotesBonds",,,"2023-05-15",,,"1.75",,"23738000000",,"0.3596625136545203","0","2881000000",
"2022-02-16","'91282CCD1'","NotesBonds",,,"2023-05-31",,,"0.125",,"25155008300",,"0.3511019325982522","0","25155008300",
"2022-02-16","'912828R69'","NotesBonds",,,"2023-05-31",,,"1.625",,"13516784200",,"0.3847366628623326","0","2728000000",
"2022-02-16","'9128284S6'","NotesBonds",,,"2023-05-31",,,"2.75",,"20527625600",,"0.4858241843434607","0","2476000000",
"2022-02-16","'912828ZU7'","NotesBonds",,,"2023-06-15",,,"0.25",,"11449565300",,"0.2565696227341739","0","3866000000",
"2022-02-16","'91282CCK5'","NotesBonds",,,"2023-06-30",,,"0.125",,"9107503100",,"0.1317877145203186","0","9107503100",
"2022-02-16","'912828S35'","NotesBonds",,,"2023-06-30",,,"1.375",,"8052656500",,"0.2509823582731726","0","1257000000",
"2022-02-16","'9128284U1'","NotesBonds",,,"2023-06-30",,,"2.625",,"18326272500",,"0.4526877346684823","0","4381000000",
"2022-02-16","'912828ZY9'","NotesBonds",,,"2023-07-15",,,"0.125",,"13892617100",,"0.2776545109397194","0","1847000000",
"2022-02-16","'91282CCN9'","NotesBonds",,,"2023-07-31",,,"0.125",,"9851778700",,"0.1498477604880711","0","9851778700",
"2022-02-16","'912828S92'","NotesBonds",,,"2023-07-31",,,"1.25",,"4204349700",,"0.1403535061864659","0","547000000",
"2022-02-16","'912828Y61'","NotesBonds",,,"2023-07-31",,,"2.75",,"14635848300",,"0.3856107255104405","0","1331000000",
"2022-02-16","'912810EQ7'","NotesBonds",,,"2023-08-15",,,"6.25",,"15860500000",,"0.6999633347285084","0","0",
"2022-02-16","'91282CAF8'","NotesBonds",,,"2023-08-15",,,"0.125",,"40223134900",,"0.52546307628756","0","3383000000",
"2022-02-16","'912828VS6'","NotesBonds",,,"2023-08-15",,,"2.5",,"25050000000",,"0.3795459353036393","0","1836000000",
"2022-02-16","'91282CCU3'","NotesBonds",,,"2023-08-31",,,"0.125",,"8767503000",,"0.1298146551185366","0","8767503000",
"2022-02-16","'9128282D1'","NotesBonds",,,"2023-08-31",,,"1.375",,"4589871600",,"0.1534309904224761","0","1097000000",
"2022-02-16","'9128284X5'","NotesBonds",,,"2023-08-31",,,"2.75",,"19689781700",,"0.4971183416764257","0","1871000000",
"2022-02-16","'91282CAK7'","NotesBonds",,,"2023-09-15",,,"0.125",,"16919555600",,"0.325028416960824","0","2305000000",
"2022-02-16","'91282CDA6'","NotesBonds",,,"2023-09-30",,,"0.25",,"7226025100",,"0.1074986891706551","0","7226025100",
"2022-02-16","'912828T26'","NotesBonds",,,"2023-09-30",,,"1.375",,"3992834300",,"0.1344079361077934","0","1050000000",
"2022-02-16","'9128285D8'","NotesBonds",,,"2023-09-30",,,"2.875",,"11263000000",,"0.2963957804672481","0","0",
"2022-02-16","'91282CAP6'","NotesBonds",,,"2023-10-15",,,"0.125",,"13890581900",,"0.2598569338543851","0","759000000",
"2022-02-16","'91282CDD0'","NotesBonds",,,"2023-10-31",,,"0.375",,"8976945100",,"0.1358087373688403","0","8976945100",
"2022-02-16","'912828T91'","NotesBonds",,,"2023-10-31",,,"1.625",,"7475704300",,"0.2517690090973675","0","4046000000",
"2022-02-16","'9128285K2'","NotesBonds",,,"2023-10-31",,,"2.875",,"14989000000",,"0.3843344173534848","0","1648000000",
"2022-02-16","'91282CAW1'","NotesBonds",,,"2023-11-15",,,"0.25",,"21315881600",,"0.309791959548026","0","1565000000",
"2022-02-16","'912828WE6'","NotesBonds",,,"2023-11-15",,,"2.75",,"11113000000",,"0.1683887149038003","0","1020000000",
"2022-02-16","'91282CDM0'","NotesBonds",,,"2023-11-30",,,"0.5",,"5010566100",,"0.0798133453547217","0","5010566100",
"2022-02-16","'912828U57'","NotesBonds",,,"2023-11-30",,,"2.125",,"5718092400",,"0.1845715124568248","0","440000000",
"2022-02-16","'9128285P1'","NotesBonds",,,"2023-11-30",,,"2.875",,"20600594700",,"0.4734398935638562","0","828000000",
"2022-02-16","'91282CBA8'","NotesBonds",,,"2023-12-15",,,"0.125",,"14170220400",,"0.2427017927098897","0","3936000000",
